------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, ELP-NX9
device name, Raza de esp?ritu 
downloading mode, manual
------------------------------,--------------------
serial number, 0446 7F00 E167 07
custom name, POM8
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 135
time diff [logger-smartphone](sec), -2
lat, 43.463464
long, -3.783264
accuracy (m), 5.7
------------------------------,--------------------
time,temp
2025-06-08 09:19:00,23.2
2025-06-08 09:19:20,23.1
2025-06-08 09:19:40,22.9
2025-06-08 09:20:00,22.2
2025-06-08 09:20:20,21.5
2025-06-08 09:20:40,20.9
2025-06-08 09:21:00,20.4
2025-06-08 09:21:20,19.9
2025-06-08 09:21:40,19.7
2025-06-08 09:22:00,19.4
2025-06-08 09:22:20,19.3
2025-06-08 09:22:40,19.2
2025-06-08 09:23:00,19.1
2025-06-08 09:23:20,19.0
2025-06-08 09:23:40,19.0
2025-06-08 09:24:00,18.9
2025-06-08 09:24:20,18.9
2025-06-08 09:24:40,18.9
2025-06-08 09:25:00,18.9
2025-06-08 09:25:20,18.8
2025-06-08 09:25:40,18.9
2025-06-08 09:26:00,18.9
2025-06-08 09:26:20,18.8
2025-06-08 09:26:40,18.9
2025-06-08 09:27:00,18.9
2025-06-08 09:27:20,18.9
2025-06-08 09:27:40,18.9
2025-06-08 09:28:00,18.9
2025-06-08 09:28:20,18.9
2025-06-08 09:28:40,18.9
2025-06-08 09:29:00,18.9
2025-06-08 09:29:20,18.9
2025-06-08 09:29:40,18.9
2025-06-08 09:30:00,18.8
2025-06-08 09:30:20,18.9
2025-06-08 09:30:40,18.8
2025-06-08 09:31:00,18.9
2025-06-08 09:31:20,18.9
2025-06-08 09:31:40,18.9
2025-06-08 09:32:00,18.9
2025-06-08 09:32:20,18.9
2025-06-08 09:32:40,19.0
2025-06-08 09:33:00,18.9
2025-06-08 09:33:20,18.9
2025-06-08 09:33:40,NA
2025-06-08 09:34:00,NA
2025-06-08 09:34:20,NA
2025-06-08 09:34:40,20.5
2025-06-08 09:35:00,20.4
2025-06-08 09:35:20,20.3
2025-06-08 09:35:40,20.2
2025-06-08 09:36:00,19.8
2025-06-08 09:36:20,19.5
2025-06-08 09:36:40,19.4
2025-06-08 09:37:00,19.3
2025-06-08 09:37:20,19.3
2025-06-08 09:37:40,19.1
2025-06-08 09:38:00,19.0
2025-06-08 09:38:20,19.0
2025-06-08 09:38:40,19.0
2025-06-08 09:39:00,18.9
2025-06-08 09:39:20,18.9
2025-06-08 09:39:40,18.9
2025-06-08 09:40:00,18.9
2025-06-08 09:40:20,18.9
2025-06-08 09:40:40,18.8
2025-06-08 09:41:00,18.8
2025-06-08 09:41:20,18.8
2025-06-08 09:41:40,18.8
2025-06-08 09:42:00,18.8
2025-06-08 09:42:20,18.7
2025-06-08 09:42:40,18.7
2025-06-08 09:43:00,18.7
2025-06-08 09:43:20,18.8
2025-06-08 09:43:40,18.8
2025-06-08 09:44:00,19.0
2025-06-08 09:44:20,19.5
2025-06-08 09:44:40,20.4
2025-06-08 09:45:00,21.2
2025-06-08 09:45:20,21.8
2025-06-08 09:45:40,22.5
2025-06-08 09:46:00,23.1
2025-06-08 09:46:20,23.6
2025-06-08 09:46:40,24.1
2025-06-08 09:47:00,24.6
2025-06-08 09:47:20,24.9
2025-06-08 09:47:40,24.8
2025-06-08 09:48:00,24.7
2025-06-08 09:48:20,24.6
2025-06-08 09:48:40,24.5
2025-06-08 09:49:00,24.4
2025-06-08 09:49:20,24.3
2025-06-08 09:49:40,24.3
2025-06-08 09:50:00,24.2
2025-06-08 09:50:20,24.2
2025-06-08 09:50:40,24.1
2025-06-08 09:51:00,24.0
2025-06-08 09:51:20,23.9
2025-06-08 09:51:40,23.8
2025-06-08 09:52:00,23.9
2025-06-08 09:52:20,23.9
2025-06-08 09:52:40,24.0
2025-06-08 09:53:00,24.0
2025-06-08 09:53:20,24.0
2025-06-08 09:53:40,24.0
2025-06-08 09:54:00,24.1
2025-06-08 09:54:20,24.1
2025-06-08 09:54:40,24.1
2025-06-08 09:55:00,24.2
2025-06-08 09:55:20,24.2
2025-06-08 09:55:40,24.2
2025-06-08 09:56:00,24.2
2025-06-08 09:56:20,24.3
2025-06-08 09:56:40,24.4
2025-06-08 09:57:00,24.5
2025-06-08 09:57:20,24.6
2025-06-08 09:57:40,24.7
2025-06-08 09:58:00,24.8
2025-06-08 09:58:20,24.8
2025-06-08 09:58:40,24.8
2025-06-08 09:59:00,24.9
2025-06-08 09:59:20,25.0
2025-06-08 09:59:40,25.1
2025-06-08 10:00:00,25.1
2025-06-08 10:00:20,25.1
2025-06-08 10:00:40,25.1
2025-06-08 10:01:00,25.1
2025-06-08 10:01:20,25.1
2025-06-08 10:01:40,25.1
2025-06-08 10:02:00,25.1
2025-06-08 10:02:20,25.1
2025-06-08 10:02:40,25.3
2025-06-08 10:03:00,25.4
2025-06-08 10:03:20,25.7
2025-06-08 10:03:40,26.2
