------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 35
time diff [logger-smartphone](sec), -1
lat, 43.463829
long, -3.781501
accuracy (m), 5.0
------------------------------,--------------------
time,temp
2025-07-16 06:32:00,25.0
2025-07-16 06:32:20,24.7
2025-07-16 06:32:40,24.6
2025-07-16 06:33:00,24.4
2025-07-16 06:33:20,24.3
2025-07-16 06:33:40,23.9
2025-07-16 06:34:00,23.4
2025-07-16 06:34:20,22.9
2025-07-16 06:34:40,22.4
2025-07-16 06:35:00,22.2
2025-07-16 06:35:20,21.8
2025-07-16 06:35:40,21.6
2025-07-16 06:36:00,21.5
2025-07-16 06:36:20,21.4
2025-07-16 06:36:40,21.3
2025-07-16 06:37:00,21.2
2025-07-16 06:37:20,21.1
2025-07-16 06:37:40,21.2
2025-07-16 06:38:00,21.1
2025-07-16 06:38:20,21.1
2025-07-16 06:38:40,21.1
2025-07-16 06:39:00,21.1
2025-07-16 06:39:20,21.0
2025-07-16 06:39:40,21.0
2025-07-16 06:40:00,21.0
2025-07-16 06:40:20,21.0
2025-07-16 06:40:40,21.0
2025-07-16 06:41:00,21.0
2025-07-16 06:41:20,21.0
2025-07-16 06:41:40,21.0
2025-07-16 06:42:00,21.0
2025-07-16 06:42:20,21.1
2025-07-16 06:42:40,21.1
2025-07-16 06:43:00,21.1
2025-07-16 06:43:20,NA
